path	category	language	size_bytes	line_count	imports	symbols
architectural-review.skill	Other	Unknown	5366	128		
project.yml	Other	YAML	9337	205		
tsan_suppressions.txt	Other	Text	1260	48		
README.md	Other	Markdown	4647	141		
build.sh	Other	Shell	2000	82		
GEMINI.md	Other	Markdown	9			
AGENTS.md	Other	Markdown	12238	283		
CLAUDE.md	Other	Markdown	9			
MacTalk.xcodeproj/project.pbxproj	Other	XcodeProject	52465	809		
MacTalk.xcodeproj/project.xcworkspace/contents.xcworkspacedata	Other	Unknown	135	7		
MacTalk.xcodeproj/project.xcworkspace/xcshareddata/swiftpm/Package.resolved	Other	Unknown	397	15		
MacTalk.xcodeproj/xcshareddata/xcschemes/MacTalk.xcscheme	Other	Unknown	3928	106		
MacTalk.xcodeproj/xcshareddata/xcschemes/MacTalk-TSan.xcscheme	Other	Unknown	4423	120		
docs/README.md	Docs	Markdown	6581	161		
docs/design/MODEL-SELECTION-UX-BEST-PRACTICES.md	Docs	Markdown	14002	423		
docs/screenshots/recording.png	Docs	Unknown	661691	13343		
docs/screenshots/README.md	Docs	Markdown	1323	56		
docs/screenshots/menu.png	Docs	Unknown	555949	13976		
docs/development/ARCHITECTURE.md	Docs	Markdown	26360	798		
docs/development/SETUP.md	Docs	Markdown	14735	661		
docs/development/XCODE_BUILD.md	Docs	Markdown	11585	492		
docs/features/LOCALIZATION.md	Docs	Markdown	10700	465		
docs/features/ACCESSIBILITY.md	Docs	Markdown	8223	360		
docs/features/SETTINGS_IMPLEMENTATION.md	Docs	Markdown	7006	238		
docs/features/LIQUID_GLASS_UI.md	Docs	Markdown	29087	911		
docs/planning/PRD.md	Docs	Markdown	11061	316		
docs/planning/PROGRESS.md	Docs	Markdown	35107	1071		
docs/planning/ROADMAP.md	Docs	Markdown	23579	868		
docs/troubleshooting/DEBUG_SESSION_NOTES.md	Docs	Markdown	24301	855		
docs/troubleshooting/AUTOPASTE_FIX.md	Docs	Markdown	6389	189		
docs/troubleshooting/PROFILING.md	Docs	Markdown	12745	506		
docs/troubleshooting/KNOWN_ISSUES.md	Docs	Markdown	9369	314		
docs/troubleshooting/TROUBLESHOOTING_SCREENCAPTURE.md	Docs	Markdown	5536	164		
docs/permissions/TCC_FIX_SUMMARY.md	Docs	Markdown	9131	307		
docs/permissions/PERMISSION_DETECTION_SOLUTION.md	Docs	Markdown	15963	527		
docs/permissions/PERMISSION_TESTING_GUIDE.md	Docs	Markdown	13169	384		
docs/permissions/README.md	Docs	Markdown	8257	239		
docs/permissions/SCREENCAPTUREKIT_PERMISSIONS.md	Docs	Markdown	10177	313		
docs/permissions/PERMISSIONS_FINAL_SUMMARY.md	Docs	Markdown	11039	397		
docs/permissions/TCC_PERMISSIONS_DEV_GUIDE.md	Docs	Markdown	10963	389		
docs/testing/TESTING.md	Docs	Markdown	8382	307		
docs/testing/TEST_COVERAGE.md	Docs	Markdown	28625	783		
docs/stories/03-PARAKEET-UX/S.03.3-ACCESSIBILITY-PERMISSIONS.md	Docs	Markdown	30451	914		
docs/stories/03-PARAKEET-UX/S.03.0-FOUNDATION-RECOVERY.md	Docs	Markdown	13279	271		
docs/stories/03-PARAKEET-UX/S.03.1f-PASTE-SAFETY.md	Docs	Markdown	8024	299		
docs/stories/03-PARAKEET-UX/S.03.1e-MINUTES-PAD.md	Docs	Markdown	12429	417		
docs/stories/03-PARAKEET-UX/S.03.1-LOW-LATENCY-STREAMING-UX.md	Docs	Markdown	4069	100		
docs/stories/03-PARAKEET-UX/S.03.1a-STREAMING-INFRASTRUCTURE.md	Docs	Markdown	20500	670		
docs/stories/03-PARAKEET-UX/S.03.1d-CAPTION-STRIP.md	Docs	Markdown	10841	350		
docs/stories/03-PARAKEET-UX/S.03.2b-LIVE-DIARIZATION.md	Docs	Markdown	10185	329		
docs/stories/03-PARAKEET-UX/S.03.1h-ROLLING-SUMMARIES.md	Docs	Markdown	8787	292		
docs/stories/03-PARAKEET-UX/README.md	Docs	Markdown	11984	203		
docs/stories/03-PARAKEET-UX/S.03.1c-VOICE-COMMANDS.md	Docs	Markdown	9210	321		
docs/stories/03-PARAKEET-UX/S.03.1b-VAD-INTEGRATION.md	Docs	Markdown	16011	585		
docs/stories/03-PARAKEET-UX/S.03.0-STREAMING-API-INVESTIGATION.md	Docs	Markdown	7975	233		
docs/stories/03-PARAKEET-UX/S.03.2-SPEAKER-DIARIZATION.md	Docs	Markdown	4147	141		
